titulo,url,descricao,data_publicacao,img,fonte,positivo,negativo,neutro
"Bradespar (BRAP4) lucra R$ 524,1 milhões no quarto trimestre, queda anual de 30%",https://www.infomoney.com.br/mercados/bradespar-brap4-resultados-quarto-trimestre-2023/,"Bradespar encerrou 2023 apresentando lucro Líquido de R$ 1,9 bilhão
The post <a href=""https://www.infomoney.com.br/mercados/bradespar-brap4-resultados-quarto-trimestre-2023/"">Bradespar (BRAP4) lucra R$ 524,1 milhões no quarto trimestre, queda anual de 30%</a> appeared first on <a href=""https://www.infomoney.com.br"">InfoMoney</a>.
",2024-03-27 10:53:36+00:00,https://www.infomoney.com.br/wp-content/uploads/2019/06/bradespar.jpg?fit=300%2C169&amp;quality=70&amp;strip=all,InfoMoney,0.2036208,0.06685109,0.72952807
Grupo ligado ao Hamas anuncia sete mortos em um atentado a bomba no Líbano,https://valor.globo.com/mundo/noticia/2024/03/27/grupo-ligado-ao-hamas-anuncia-sete-mortos-em-um-atentado-a-bomba-no-lbano.ghtml,        Sete socorristas morreram no ataque a um centro de...  ,2024-03-27 10:19:06+00:00,https://s2-valor.glbimg.com/9uy4ZkOoMof7LyD5YZqgBggftWo=/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2023/a/z/56yJDaR669qOskuya8cg/ap23286326638397.jpg,Valor,0.032838028,0.9337341,0.03342789
Eletromidia tem melhor tri da história; CEO diz que avalia follow-on,https://braziljournal.com/tag/midia/,,,,Brazil Journal,0.032838028,0.9337341,0.03342789
Presidente Marcio Pochmann tem encontro com correspondentes estrangeiros na Casa G20,http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/39547-presidente-marcio-pochmann-tem-encontro-com-correspondentes-estrangeiros-na-casa-g20.html,"Com o objetivo de mostrar a ampliação do papel do IBGE no cenário internacional da produção de estatísticas públicas, o presidente do IBGE, Marcio Pochmann, tem encontro hoje, dia 25 de março, às 16h, com parte dos correspondentes estrangeiros, na Casa...",2024-03-25 10:36:44,,IBGE,0.032838028,0.9337341,0.03342789
Ações da China caem para mínima em um mês em meio a saídas de capital estrangeiro,https://www.infomoney.com.br/mercados/acoes-da-china-caem-para-minima-em-um-mes-em-meio-a-saidas-de-capital-estrangeiro/,"Os mercados asiáticos em geral ficaram sem direção, já que os investidores aguardam a divulgação na sexta-feira de dados de inflação dos Estados Unidos
The post <a href=""https://www.infomoney.com.br/mercados/acoes-da-china-caem-para-minima-em-um-mes-em-meio-a-saidas-de-capital-estrangeiro/"">Ações da China caem para mínima em um mês em meio a saídas de capital estrangeiro</a> appeared first on <a href=""https://www.infomoney.com.br"">InfoMoney</a>.
",2024-03-27 10:50:36+00:00,https://www.infomoney.com.br/wp-content/uploads/2020/06/GettyImages-843495012-2.jpg?fit=300%2C200&amp;quality=70&amp;strip=all,InfoMoney,0.032838028,0.9337341,0.03342789
TJDFT: Banco é condenado por fraude em biometria facial para a contratação de cartão consignado,https://valor.globo.com/legislacao/noticia/2024/03/27/tjdft-banco-e-condenado-por-fraude-em-biometria-facial-para-a-contratacao-de-cartao-consignado.ghtml,        Contrato digital que seria falso levou mulher a en...  ,2024-03-27 10:00:19+00:00,https://s2-valor.glbimg.com/y-dMwhSzFHilauUsMcU-mwlhUZ8=/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2023/A/W/Cywt4kTheg9ITpJDDYcA/security-5726869-1280.jpg,Valor,0.029133493,0.9371578,0.033708718
Claudio Walker: a IA que ajudou a CloudWalk a lucrar R$ 108 milhões,https://braziljournal.com/brands/claudio-walker-a-ia-que-ajudou-a-cloudwalk-a-lucrar-r-108-milhoes/,,2024-03-02 11:07:29.405295,,Brazil Journal,0.029133493,0.9371578,0.033708718
Marcio Pochmann é recebido pelo presidente Lula em audiência sobre propostas para um novo IBGE,http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/39546-marcio-pochmann-e-recebido-pelo-presidente-lula-em-audiencia-sobre-propostas-para-um-novo-ibge.html,"Marcio Pochmann é recebido pelo presidente Lula em audiência sobre propostas para um novo IBGE - Foto: Ricardo Stuckert O presidente do IBGE, Marcio Pochmann, reuniu-se, no dia 21 de março, com o presidente da República, Luiz Inácio Lula da Silva, em...",2024-03-25 10:06:28,,IBGE,0.029133493,0.9371578,0.033708718
Day Trade Hoje: O que esperar dos minicontratos e do Ibovespa nesta quarta-feira,https://www.infomoney.com.br/mercados/day-trade-hoje-analistas-27032024/,"Na agenda de hoje, destaque para IGP-M e Caged
The post <a href=""https://www.infomoney.com.br/mercados/day-trade-hoje-analistas-27032024/"">Day Trade Hoje: O que esperar dos minicontratos e do Ibovespa nesta quarta-feira</a> appeared first on <a href=""https://www.infomoney.com.br"">InfoMoney</a>.
",2024-03-27 10:50:16+00:00,https://www.infomoney.com.br/wp-content/uploads/2019/12/shutterstock_1043121319.jpg?fit=300%2C158&amp;quality=70&amp;strip=all,InfoMoney,0.029133493,0.9371578,0.033708718
Entenda por que as grandes cidades brasileiras viraram canteiros de obras,https://valor.globo.com/brasil/noticia/2024/03/27/entenda-por-que-as-grandes-cidades-brasileiras-viraram-canteiros-de-obras.ghtml,        Investimento nas capitais no período 2021-2023 qua...  ,2024-03-27 10:00:11+00:00,https://s2-valor.glbimg.com/DeRqfOOMTYMVaFr3OHG80vUeAgU=/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2022/W/P/MwxJQdT6WJD3geFuZaBw/safety.jpg,Valor,0.12033529,0.13885443,0.74081033
